_id,review_scores_value,RatingPrediccion_scaled
34177.0,9.000000,8.750000
48305.0,8.000000,5.000000
125656.0,10.000000,7.500000
182139.0,10.000000,10.000000
191079.0,9.000000,8.750000
223200.0,9.000000,8.750000
251414.0,10.000000,8.750000
290608.0,10.000000,7.500000
293754.0,10.000000,8.750000
296910.0,9.000000,8.750000
297908.0,9.000000,8.750000
310233.0,10.000000,6.250000
313223.0,9.000000,8.750000
316355.0,8.000000,8.750000
323213.0,10.000000,2.500000
332150.0,10.000000,10.000000
336569.0,9.000000,7.500000
349618.0,9.000000,8.750000
369336.0,9.000000,10.000000
469638.0,10.000000,7.500000
484267.0,10.000000,10.000000
486337.0,8.000000,8.750000
490098.0,10.000000,8.750000
507117.0,10.000000,0.000000
516720.0,10.000000,0.000000
536526.0,9.000000,8.750000
555588.0,9.000000,6.250000
564564.0,9.000000,6.250000
573086.0,9.000000,10.000000
575662.0,10.000000,0.000000
645976.0,10.000000,8.750000
690895.0,10.000000,8.750000
744242.0,9.000000,8.750000
746187.0,9.000000,8.750000
808744.0,10.000000,10.000000
836433.0,9.000000,8.750000
846689.0,10.000000,8.750000
878307.0,9.000000,7.500000
880678.0,9.000000,8.750000
961596.0,9.000000,7.500000
1038163.0,9.000000,7.500000
1058555.0,9.000000,7.500000
1063491.0,9.000000,8.750000
1074008.0,9.000000,0.000000
1163119.0,9.000000,8.750000
1182475.0,9.000000,7.500000
1215226.0,8.000000,5.000000
1255979.0,9.000000,7.500000
1264811.0,9.000000,8.750000
1273526.0,8.000000,8.750000
1284892.0,10.000000,7.500000
1304552.0,9.000000,8.750000
1310141.0,9.000000,7.500000
1408997.0,9.000000,10.000000
1410460.0,9.000000,8.750000
1413677.0,10.000000,10.000000
1427233.0,9.000000,10.000000
1476508.0,10.000000,7.500000
1503655.0,10.000000,9.170000
1530241.0,8.000000,10.000000
1550449.0,9.000000,7.080000
1560753.0,10.000000,8.750000
1574416.0,10.000000,8.750000
1593570.0,9.000000,10.000000
1635900.0,10.000000,8.750000
1637159.0,10.000000,10.000000
1661373.0,8.000000,6.250000
1676806.0,10.000000,8.750000
1677735.0,8.000000,2.500000
1685970.0,10.000000,6.250000
1760846.0,10.000000,8.750000
1797689.0,10.000000,10.000000
1821758.0,9.000000,10.000000
1844578.0,9.000000,8.750000
1912695.0,8.000000,10.000000
1925045.0,10.000000,8.750000
1940174.0,10.000000,8.750000
2023934.0,8.000000,6.250000
2073897.0,10.000000,10.000000
2085520.0,9.000000,7.960000
2092831.0,10.000000,8.750000
2105881.0,9.000000,8.750000
2113927.0,9.000000,7.080000
2116352.0,10.000000,8.750000
2118641.0,9.000000,8.750000
2119162.0,9.000000,6.250000
2123266.0,9.000000,10.000000
2133967.0,10.000000,10.000000
2163225.0,9.000000,8.380000
2187573.0,10.000000,10.000000
