apartment_id,fecha_review,Review,RatingPrediccion
10051164,2016-02-10T05:00:00Z,beatriz attentive responded question quickly trip catete neighborhood good location able easily get lapa place like harbor praia flamengo carnival metro station also nearby many dining option close house layout house resembles hostel room stayed excellent size four people air conditioning make big difference heat rio de janeiro four bathroom sufficient number people fit house however day spent bathroom never cleaned fortunately guest keeping usable condition would important clean bathroom periodically one important point room connected door doesnat lock quite thin therefore privacy isnat guaranteed perfectly hear noise one room price right offered would important simply improve cleanliness check itas possible soundproof room,5.6
10228731,2016-05-26T04:00:00Z,attentive host timo house wellmaintained extremely welllocated view rainforest close metro,9.3
10264100,2016-08-13T04:00:00Z,fantastic apartment perfect location ana lucia made u feel right home fresh fruit snack apt block away beach near ton great food go amir galeto sat thank later plenty place hang local bip bip highly recommend staying visit copacabana,9.51
10264100,2016-11-27T05:00:00Z,ana lucia helpful welcomed u wonderfully apartment wellequipped welllocated close beach public transport restaurantsa completely exceeded expectation,9.37
10264100,2016-12-17T05:00:00Z,ana lcia incredibly attentive quick response flexible checkin checkout time apartment lovely welllocated,8.82
10264100,2017-02-06T05:00:00Z,good,5.13
10264100,2017-09-26T04:00:00Z,ana lcia took good care u answered question stay well providing u guidance matter great service,7.89
10264100,2017-10-01T04:00:00Z,loved,9.26
10264100,2018-03-07T05:00:00Z,timo apartment wellequipped prime location,4.56
10264100,2018-03-18T04:00:00Z,timo apartment wellequipped clean comfortable itas perfect location lot shop nearby close beach warmly welcomed host flexible checkin time,9.46
10383490,2016-05-16T04:00:00Z,luana great host felt home sharing common area kitchen living room wasnat problem room clean large wardrobe enough space best part close needed go walked back neighborhood quiet going rio communicated phone able give direction apartment end kindly offered pick rodoviario terminal way back work thought great didnat know cityas road network talked lot found interesting,8.55
10381879,2017-09-10T04:00:00Z,location excellent easy access breakfast excellent ladia getaolio quite attentive,8.79
10381879,2018-02-18T05:00:00Z,great hospitality helpful local tip,8.99
10381879,2018-09-09T04:00:00Z,good service attentive host great breakfast recommend,8.74
10381879,2018-10-22T04:00:00Z,host canceled reservation day arrival automated posting,2.25
10381879,2018-12-02T05:00:00Z,attentive host simple place clean delicious breakfast,9.02
10381879,2018-12-22T05:00:00Z,satisfied stay guesthouse clean tasteful decor ldia husband incredibly welcoming host made u feel home highly recommend,9.48
10381879,2019-02-02T05:00:00Z,wonderful place anfitriones super receptivos whenever return island iall stay,4.17
10381879,2019-02-03T05:00:00Z,lidia husband welcoming gave great tip island guesthouse easy locate cozy itas located close hour mini market,9.33
10648267,2016-02-10T05:00:00Z,dona sonia wonderful host apartment spotless nothing complain even left bottled water cold beer refrigerator made bed provided towel bathroom new soap well emergency medication also offered help numerous time available perfect apartment spacious airy welllocated itas one block beach surrounded bar good restaurant snack bar healthy food place burger joint sushi restaurant etc save lot time travel everything nearby,9.1
11406680,2016-05-28T04:00:00Z,patricia always available help u lot kindness apartment excellent location close shopping mall theater great restaurant supermarket everything apartment clean overall fantastic stay,9.35
11406680,2016-07-15T04:00:00Z,rented apartment family holiday july second time iave come love location perfect apartment super wellmaintained clean itas also wellequipped couldnat suitable need,9.05
11406680,2016-08-23T04:00:00Z,nice place stay patricia received family friendly way apartment perfect order clean room comfortable bed wardrobe area quiet located private street close lagoon beach definitely recommend,9.35
11406680,2016-10-23T04:00:00Z,patricia host kind attentive itas excellent place location wonderful weall definitely return recommend,7.45
11406680,2016-12-04T05:00:00Z,stay great apartment exactly photo showed clean airy welllocated patricia kind attentive,9.0
11406680,2017-01-11T05:00:00Z,excellent,5.72
11406680,2017-02-24T05:00:00Z,thank hospitality everything met expectation apartment fully equipped family visit location quiet space spacious everything kitchen washing machine bed comfortable described advertisement itas close beach shopping supermarket taxi tranquility pleasant stay return country chile soon,8.7
11406680,2017-02-28T05:00:00Z,apartment great location clean comfortable people patricia attentive loved stay,9.56
11406680,2017-03-20T04:00:00Z,great location near shopping leblon leblon beach ipanaema beach lagoa felt quite safe day night leafy street well lit night spacious apartment people view christ redeemer one bedroom window master bedroom bed comforatble double room bed rather old comfortble aircons noisy room fan also available kitchen well equipped good washing machine drying rack lounge good comfortable furniture large dining table wifi worked well issue part tiling kitchen spontaneously cracked broke leaving doorway kitchen uneven entrance host provided tarpaulin offered u two free extra night made inconvenience offer able take communication host hidden airbnb,7.54
11406680,2017-09-25T04:00:00Z,patricia kind helpful caring felt comfortable apartment exactly advertised welllocated everything needed cleanliness impeccable loved stay,9.12
11406680,2018-02-13T05:00:00Z,stay wonderful apartment clean comfortable safe welllocated allowed u thing foot recommend,8.96
10908640,2016-02-11T05:00:00Z,friendly couple tidy well located spot right heart ipanema beach grabiela warm welcoming character room stayed spacious neat affordable price would definitely recommend place tourist looking enjoy good time wonderful city rio de janeiro,9.22
10908640,2016-08-13T04:00:00Z,gabriela welcomy lot make feel confortable would recommend,7.91
10828339,2018-12-07T05:00:00Z,host canceled reservation day arrival automated posting,2.25
11459525,2016-07-25T04:00:00Z,stay wonderful traveled whole family stayed fabias apartment everything exactly described host available u every detail needed providing great sense peace apartment located meter beach specifically plot nine ipanema itas spacious clean comfortable especially ideal family would definitely return apartment without hesitation,9.34
11459525,2016-08-22T04:00:00Z,excellent experience fantastic service fabi excellent apartment highly recommended,5.83
11459525,2016-09-11T04:00:00Z,sensational room tidy bed made towel provided everyone best apartment iave ever stayed,8.89
11459525,2017-01-24T05:00:00Z,excellent apartment location itas safe quiet one block beach close everything apartment spacious comfortable perfect spending vacation fabi excellent grateful,9.44
11197217,2016-08-23T04:00:00Z,loved staying zuzuas apartment lovely welcoming welllocated close copacabana ipanema metro fantastic plus greeted delicious yupiua cake fruit lot friendliness,9.72
11197217,2018-02-15T05:00:00Z,received well lot hospitality care location excellent end copacabana convenient ipanema apartment lovely perfect people spacious everything necessary spend holiday,9.26
11840338,2017-09-17T04:00:00Z,ideal location new apartment fair price,7.74
11679012,2018-12-17T05:00:00Z,location great safe itas possible everything foot whether itas going bar night heading beach day apartment comfortably accommodates people nice room good air conditioning spacious bathroom spacious comfortable living room doorman also polite helpful rodrigo flexible attentive always asking everything okay accommodation would definitely recommend space return necessary,9.11
11679012,2019-01-28T05:00:00Z,location excellent allowing easily walk beach market everything described listing available neighbor doorman polite helpful host case rodrigo attentive everything made fantastic experience,9.32
11860047,2017-01-03T05:00:00Z,wonderful day apartment cozy spectacular view incredible location highly recommend anyone want relax enjoy good beach,7.24
11860047,2019-01-18T05:00:00Z,excellent apartment one best condominium recreio located right beach apartment comfortable beautiful spacious balcony overlooking sea itas wellequipped good taste detail make stand everything necessary truly pleasant stay condominium service excellent especially pool maintenance close commercial area like small supermarket pharmacy shop host incredibly attentive always contact providing information highly recommended thank alexandre,9.55
11716047,2017-01-08T05:00:00Z,host canceled reservation day arrival automated posting,2.25
11716047,2019-01-02T05:00:00Z,apartment small necessary amenity good time four people fit comfortably three bed shower separated bathroom huge help saving time itas half block beach return ro definitely return house,8.02
12004365,2017-01-02T05:00:00Z,apartment comfortable excellent facility building top location amazing go walking beach store supermarket bar etc lucas amazing host easy connect always ready help definitely come back,8.62
12004365,2017-01-29T05:00:00Z,good apartment amenity block beach block center hosta attention excellent outstanding highly recommended,8.69
12004365,2017-03-01T05:00:00Z,apartment extremely welllocated comfortable everything necessary complete stay lucas incredibly helpful responsive beginning friend loved time spent apartment already want return,9.22
12004365,2017-04-17T04:00:00Z,everything good,8.48
12004365,2019-01-02T05:00:00Z,great place perfect location,8.86
12088301,2016-08-19T04:00:00Z,brazil summer olympics volunteer needed close olympic stadium engenho home perfect min bus kayanh family awesome great making feel home left feeling like family took tour rio first day showed everything rio accommodating made feel home first arrived kayanh far exceeded expectation home beautiful called tree house bedroom everything tv fan zoned air conditioning bathroom awesome everything well decorated clean neighborhood great private quiet neighborhood close brt area convenient everything walkable distance like walking kayanh home min airport car hour centro brazil mind travelling public transportation tourist area accessible kayanh family best host could ever ask speak english kayanh spoke portuguese english tremendous advantage kayanh family star host,9.31
12181533,2016-05-31T04:00:00Z,good recommend everyone chatted host via whatsapp whole time didnat problem thank everything,8.79
12181533,2016-08-10T04:00:00Z,communication host wife excellent welcome barra leme hotel residence heated pool hot tub free beach service gym game room hair salon additional cost best location barra beach post post itas safe pleasant place reasonable pricing great thanks host thank,8.78
12253016,2016-08-14T04:00:00Z,wonderful welcome fabio made u feel comfortable great location,9.06
12290090,2016-08-15T04:00:00Z,apartment lovely spacious felt home boyfriend able really enjoy olympics welllocated,6.32
12290090,2016-08-21T04:00:00Z,absolutely loved first airbnb experience liked everything welcome location tip hosta friendliness recommend everyone,9.49
12290090,2017-09-23T04:00:00Z,warmly welcomed pleasant stay wholeheartedly recommend everyone,8.74
12290090,2017-09-24T04:00:00Z,apartment really great everything good host welcomed u warmly even picked u brt station going rock rio location excellent going olympic park everyone else stuck huge line taxisbrt able leave easily even middle night without trouble first airbnb experience really enjoyed recommend,9.05
12290090,2017-09-25T04:00:00Z,place exactly described organization excellent location better expected would recommend staying,1.87
12355178,2016-07-08T04:00:00Z,great experience ione gave lot help knowing rio travel plan room nice clean every stuff room nice clean beauty,8.65
12355178,2016-08-15T04:00:00Z,ione great host responsive quite attentive made u feel welcome stay even flexible certain aspect conversation great,8.95
12355178,2018-01-02T05:00:00Z,excellent accommodation good location safe everything nearby ione prepares best breakfast view apartment unique felt comfortable stay,9.16
11948645,2017-01-13T05:00:00Z,host canceled reservation day arrival automated posting,2.25
11948645,2017-03-14T04:00:00Z,apartment decenta itas close main shopping center west zone walk take brt get beach nearby walk take uber around r praia da macunha pontal thereas huge selection amenity within condominium really pay attention condominiumas rule pool isnat operational monday generally satisfied,7.92
11948645,2017-11-18T05:00:00Z,service excellent timo particularly attentive brought labrador condominium received well thanks augustoas attention apartment exactly pictured cleanliness reception topnotch nothing lacking accommodation itas easy access secluded beach also avenue lot shopping location safe,9.08
