id,fecha,review,rating
10051164,2016-02-10T05:00:00Z,"Beatriz was very attentive and responded to my questions very quickly before the trip. The Catete neighborhood has a good location; we were able to easily get to Lapa and other places like the harbor and Praia do Flamengo during Carnival. The metro station is also nearby, with many dining options very close to the house. The layout of the house resembles a hostel, and the room I stayed in was excellent in size for four people, with air conditioning, which makes a big difference with the heat in Rio de Janeiro. There are four bathrooms, which were sufficient for the number of people that fit in the house; however, during all the days I spent there, the bathroom was never cleaned, fortunately the guests were keeping it in a usable condition, but it would be important to clean the bathroom periodically.

One important point is that the rooms are connected by a door that doesn’t have a lock and is quite thin; therefore, privacy isn’t guaranteed and you can perfectly hear the noise from one room in the other.

The price was just right for what was offered, but it would be important to simply improve the cleanliness and check if it’s possible to soundproof the rooms",4
10038496,2019-01-28T05:00:00Z,Everything was perfect! The apartment was very well-located and perfectly met my family’s needs. The host was helpful and attentive,8
10228731,2016-05-26T04:00:00Z,"Very attentive host, Timo.

The house is very well-maintained and extremely well-located, with a view of the rainforest and close to the metro",8
10267144,2018-12-12T05:00:00Z,Cesar was indeed a super host couldnt have asked for at better place to experience Rio! He made our trip Amazing,8
10299095,2016-08-20T04:00:00Z,Fernanda offers two rooms. J,1
10264100,2016-08-13T04:00:00Z,"Fantastic apartment in a perfect location. Ana Lucia made us feel right at home with fresh fruit and snacks! The apt is blocks away from the beach, near tons of great food (Go to Amir and Galeto Sats, thank me later) and plenty of places to hang out with locals (Bip Bip). Highly recommend staying here for your visit to Copacabana",9
10264100,2016-11-27T05:00:00Z,"Ana Lucia was very helpful and welcomed us wonderfully. The apartment is well-equipped and very well-located, close to the beach, public transport, and restaurants… it completely exceeded our expectations",9
10264100,2016-12-17T05:00:00Z,"Ana Lcia was incredibly attentive, quick with her responses, and flexible with my check-in and check-out times. The apartment is lovely and very well-located",9
10264100,2017-02-06T05:00:00Z,very good,6
10264100,2017-09-26T04:00:00Z,"Ana Lcia took very good care of us and answered all of our questions about the stay, as well as providing us with guidance on some matters. Great service",8
10264100,2017-10-01T04:00:00Z,I loved it,3
10264100,2018-03-07T05:00:00Z,The Timo apartment is well-equipped and in a prime location,6
10264100,2018-03-18T04:00:00Z,"The Timo apartment is well-equipped, clean, and comfortable. It’s in a perfect location, with lots of shops nearby and close to the beach.

We were very warmly welcomed by the host, who was very flexible with the check-in time",9
10201975,2019-01-28T05:00:00Z,"The apartment is very well-located, very cozy, with new furniture and very kind professionals",8
10383490,2016-05-16T04:00:00Z,"Luana was a great host, I felt at home. Sharing common areas – the kitchen and living room – wasn’t a problem. The room was clean with a large wardrobe and enough space. And the best part was, it was very close to where I needed to go; I walked there and back. The neighborhood was quiet.

Before going to Rio, we communicated by phone, and she was able to give me directions to the apartment. In the end, she kindly offered to pick me up at the Rodoviário Terminal, on my way back from work. I thought that was great, as I didn’t know the city’s road network.

We talked a lot; I found it very interesting",9
10381879,2017-09-10T04:00:00Z,"The location is excellent and very easy to access. The breakfast was excellent, and Lídia and Getúlio were quite attentive",8
10381879,2018-02-18T05:00:00Z,Great hospitality and helpful local tips,6
10381879,2018-09-09T04:00:00Z,"Good service, attentive hosts. Great breakfast. I recommend it",6
10381879,2018-10-22T04:00:00Z,The host canceled this reservation 67 days before arrival. This is an automated posting,1
10381879,2018-12-02T05:00:00Z,"Attentive hosts, a simple place but very clean, and a delicious breakfast",8
10381879,2018-12-22T05:00:00Z,We were very satisfied with our stay. The guesthouse was clean and had very tasteful decor. Ldia and her husband were incredibly welcoming hosts and made us feel at home! We highly recommend it,8
10381879,2019-02-02T05:00:00Z,"Wonderful place!

Anfitriones super receptivos.

Whenever I return to the Island, I’ll stay here",8
10381879,2019-02-03T05:00:00Z,Lidia and her husband were very welcoming and gave great tips about the island. Their guesthouse was easy to locate and very cozy. It’s located very close to a 24-hour mini market,8
10411341,2019-01-22T05:00:00Z,"The location was very good, surrounded by important streets and with good restaurants, and it was also quiet and sufficiently close to the beach (5 minutes walking). By phone, I noticed that the host was quite nice. The place was spacious and the beds were large and comfortable.

Negatives:
After the first message (when payment was still pending), the host stopped responding, despite us having made more than one request for a reply. As a consequence, we had to spend 30 euros on telephone calls using a French SIM card when we arrived at the airport to communicate with her and ask basic questions that were not provided: street number, who we would pick up the key from, the time we could enter, etc.
Furthermore, although I have used Airbnb countless times, this is the first time that nobody received us. We didn't see the host or the agency she hired or any other person at any time. We arrived, asked for the keys at the concierge, the way to open the garage, where to park, where to enter when we arrived from the beach, etc. We asked when doubts arose because no one gave us an introduction to the place. They sell a service as if it were a product, and without much customer service",3
10415637,2017-09-22T04:00:00Z,I had a nice time at Rio de Janeiro! Thanks to Rafael,2
10519173,2019-01-04T05:00:00Z,Excellent host and great location,6
10570041,2018-10-15T04:00:00Z,"The apartment delivers on all its promises, although it’s a little noisy due to the bus that passes by the door. However, that’s the price you pay for the wonderful location. The playground is fantastic, with a pool included",8
1063491,2019-01-02T05:00:00Z,"The apartment is very lovely and comfortable. Just as it appears in the photos, it’s very close to the beach and several supermarkets and services. Fabio responded to everything quickly and with immediate solutions",8
10635276,2018-05-02T04:00:00Z,Luis and Claudia are excellent people. The location is superb. I recommend this place for families or groups of friends,6
10648267,2016-02-10T05:00:00Z,"Dona Sonia was a wonderful host. The apartment was spotless, with nothing to complain about. She even left bottled water and cold beers in the refrigerator, made the beds, provided towels in the bathroom, and new soaps, as well as some emergency medications. She also offered her help numerous times and was 100% available.

This was the perfect apartment: spacious, airy, and very well-located. It’s just one block from the beach, surrounded by bars, good restaurants, snack bars, healthy food places, burger joints, sushi restaurants, etc. You can save a lot of time on travel because you can do everything nearby",1
11406680,2016-05-28T04:00:00Z,"Patricia was always available to help us, with a lot of kindness. The apartment has an excellent location, close to shopping malls, theaters, great restaurants, and supermarkets. Everything in the apartment was very clean. Overall, it was a fantastic stay",9
11406680,2016-07-15T04:00:00Z,"When I rented this apartment for a family holiday in July for the second time, I’ve come to love it more and more. The location is perfect, the apartment is super well-maintained and clean, and it’s also very well-equipped. It couldn’t be more suitable for my needs",9
11406680,2016-08-23T04:00:00Z,"Very nice place to stay!!!!

Patricia received my family in a very friendly way!!!! The apartment was in perfect order and clean. The rooms have comfortable beds with wardrobes. The area is very quiet, located on a private street very close to the Lagoon and the beach... I definitely recommend it",9
11406680,2016-10-23T04:00:00Z,"Patricia, the host, was very kind and attentive. It’s an excellent place!! The location is wonderful! We’ll definitely return, and I recommend it",8
11406680,2016-12-04T05:00:00Z,"The stay was great. The apartment was exactly as the photos showed. It was clean, airy, and very well-located.

Patricia was very kind and attentive",9
11406680,2017-02-24T05:00:00Z,"Thank you for your hospitality; everything met our expectations. The apartment is fully equipped for a family visit. The location is very quiet, the space is spacious and it has everything in the kitchen and a washing machine. The beds are very comfortable, just as described in the advertisement – it’s close to the beach, shopping, supermarkets, taxis, and tranquility.

I had a very pleasant stay and will return to my country, Chile, soon",1
11406680,2017-02-28T05:00:00Z,"The apartment is in a great location, clean and comfortable for 6 people.

Patricia is very attentive.

We loved our stay",8
11406680,2017-03-20T04:00:00Z,"Great location near Shopping Leblon, Leblon beach, Ipanaema beach and Lagoa. Felt quite safe there day and night. Leafy streets well lit at night. Spacious apartment for 6 people. View of the Christ Redeemer out of one of the bedroom windows. Master bedroom bed very comforatble. Other double room bed rather old and not so comfortble. Aircons noisy in that room too but fan also available. Kitchen well equipped and good washing machine and drying racks. Lounge had good comfortable furniture and large dining table. Wi-fi worked well. Only issue we had was part of the tiling in the kitchen spontaneously cracked and broke leaving the doorway into the kitchen with a very uneven entrance. Host provided a tarpaulin and offered us two free extra nights which made up for the inconvenience, an offer we were able to take up. Communication with host was through (Hidden by Airbnb",8
11406680,2017-09-25T04:00:00Z,"Patricia was very kind, helpful, and caring. We felt very comfortable; the apartment was exactly as advertised, very well-located with everything we needed, and the cleanliness was impeccable. We loved our stay",1
11406680,2018-02-13T05:00:00Z,"Our stay was wonderful! The apartment was clean, comfortable, safe, and well-located, which allowed us to do most things on foot.

I recommend it",9
10908640,2016-02-11T05:00:00Z,"Very friendly couple in a tidy, very well located spot right in the heart of Ipanema beach. Grabiela is such a warm and welcoming character! The room I stayed in was spacious, neat and with affordable price. Would definitely recommend this place to other tourists who are looking to enjoy a good time in the wonderful city of Rio De Janeiro",8
10908640,2016-08-13T04:00:00Z,"Gabriela is very welcomy and do a lot to make you feel confortable.
Would recommend",7
11131495,2019-01-06T05:00:00Z,"The apartment is a dream: spacious rooms, exquisite decor, and a beautiful city view, thanks to its location in the best neighborhood of Roma Sur: Santa Teresa! Banca and Wanderley were excellent hosts and responded to all our concerns, making our stay there perfect. Thank you so much for everything",1
10828339,2018-12-07T05:00:00Z,The host canceled this reservation 23 days before arrival. This is an automated posting,1
11459525,2016-07-25T04:00:00Z,"Our stay was wonderful. We traveled with the whole family and stayed at Fabi’s apartment. Everything was exactly as described. The hosts were available to us in every detail we needed, providing a great sense of peace. The apartment is located just meters from the beach, specifically in plot nine of Ipanema, it’s very spacious, clean and comfortable, especially ideal for families. We would definitely return to this apartment without hesitation",9
11459525,2016-08-22T04:00:00Z,"Excellent experience.

Fantastic service from Fabi.

Excellent apartment.

Highly recommended",8
11459525,2016-09-11T04:00:00Z,"Sensational – the rooms were tidy, the beds were made, and towels were provided for everyone!

This was the best apartment I’ve ever stayed in",1
11459525,2017-01-24T05:00:00Z,"Excellent apartment and location – it’s very safe, quiet, just one block from the beach, and close to everything. The apartment is spacious and comfortable, perfect for spending your vacation. Fabi was excellent, we were very grateful",9
11197217,2016-08-23T04:00:00Z,"We loved staying at Zuzu’s Apartment! It was lovely, welcoming, and very well-located! Close to Copacabana, Ipanema, and the metro – fantastic! Plus, we were greeted with a delicious yupiua cake, fruit, and lots of friendliness",8
11197217,2018-02-15T05:00:00Z,"We were received very well, with a lot of hospitality and care. The location was excellent, at the end of Copacabana and convenient to Ipanema. The apartment is lovely and perfect for 5 people – spacious and with everything necessary to spend a holiday",8
10706900,2019-01-25T05:00:00Z,Thank you,2
11840338,2017-09-17T04:00:00Z,Ideal location. New apartment. Fair price,6
11679012,2018-12-17T05:00:00Z,"The location is great, very safe, and it’s possible to do everything on foot, whether it’s going to bars at night or heading to the beach during the day. The apartment comfortably accommodates 4 people, has nice rooms with good air conditioning, a spacious bathroom, and a spacious, comfortable living room. The doorman is also very polite and helpful. Rodrigo is very flexible and attentive, always asking if everything is okay with the accommodation. I would definitely recommend this space and I will return when necessary",9
11679012,2019-01-28T05:00:00Z,"The location is excellent, allowing you to easily walk to the beach and markets. Everything that was described in the listing was available. The neighbors and doorman were very polite and helpful. The host (in this case, Rodrigo) was very attentive, and everything made for a fantastic experience",9
11860047,2017-01-03T05:00:00Z,"These were wonderful days. The apartment was very cozy, with a spectacular view and an incredible location. We highly recommend it for anyone who wants to relax and enjoy a good beach",8
11860047,2019-01-18T05:00:00Z,"Excellent apartment in one of the best condominiums in Recreio.

Located right on the beach.

The apartment is comfortable, with a beautiful, spacious balcony overlooking the sea. It’s very well-equipped with good taste and details that make it stand out, and has everything necessary and more for a truly pleasant stay.

The condominium services are excellent, especially the pool maintenance.

Close to commercial areas like a small supermarket, pharmacy, and other shops.

The host was incredibly attentive and always in contact, providing information.

Highly recommended.

Thank you, Alexandre",1
1163119,2017-06-19T04:00:00Z,"The location is convenient, it’s clean and cozy. I definitely recommend it",8
11716047,2017-01-08T05:00:00Z,The host canceled this reservation 5 days before arrival. This is an automated posting,1
11716047,2019-01-02T05:00:00Z,"The apartment is small, but it has all the necessary amenities to have a good time. Four people fit comfortably in the three beds, and the shower is separated from the bathroom, which is a huge help for saving time. It’s only half a block from the beach!

If we return to Ro, we will definitely return to this house",8
11695437,2019-02-01T05:00:00Z,"The place was exactly as shown in the photos. The experience far exceeded expectations, especially since I stayed for five months. The building staff were extremely friendly and polite. The host was very welcoming and friendly. I highly recommend it",8
11740322,2018-12-25T05:00:00Z,"The place, Timo, is close to everything. The house is incredible, beautiful, stylish, and very cozy. There’s nothing to complain about. Edson and Rafaela were always available to help at any time. It was an incredible experience",9
11890476,2017-01-06T05:00:00Z,"They accompanied us during each day of our stay, and they were very warmly helpful with any questions we had. Ana Rita was very kind and courteous. The neighborhood seemed very safe, although it was a bit far from the beaches",8
11945972,2016-08-15T04:00:00Z,Luiz and family met us when we arrived in Rio and drove us to the house. It was wonderful to have them greet us in a foreign city where we may have struggled to make our own way.\r\nThe house was very comfortable and having a maid service made our stay there very relaxed. Luiz and Lillian responded very quickly when we did have a little problem and got things put right very quickly.\r\nWe really appreciated the transport provided by Lillian,9
11939367,2019-01-05T05:00:00Z,Excellent attention… you’ll feel at home,8
12004365,2017-01-02T05:00:00Z,"The apartment is very comfortable and has excellent facilities in the building. On top of that the location is amazing and you can go walking to the beach, stores, supermarket, bars, etc. Lucas was an amazing host, very easy to connect with and always ready to help. I will definitely come back",9
12004365,2017-01-29T05:00:00Z,"This is a very good apartment with all the amenities, just 4 blocks from the beach and 2 blocks from the center. The host’s attention was excellent and outstanding!!! Highly recommended",8
12004365,2017-03-01T05:00:00Z,"The apartment is extremely well-located, comfortable, and has everything necessary for a complete stay. Lucas was incredibly helpful and responsive from the beginning. My friend and I loved the time we spent at the apartment and we already want to return",9
12004365,2017-04-17T04:00:00Z,Everything was very good,6
12004365,2019-01-02T05:00:00Z,Great place and perfect location,6
