apartment_id,Review,RatingPrediccion
10051164,"Beatriz was very attentive and responded to my questions very quickly before the trip. The Catete neighborhood has a good location; we were able to easily get to Lapa and other places like the harbor and Praia do Flamengo during Carnival. The metro station is also nearby, with many dining options very close to the house. The layout of the house resembles a hostel, and the room I stayed in was excellent in size for four people, with air conditioning, which makes a big difference with the heat in Rio de Janeiro. There are four bathrooms, which were sufficient for the number of people that fit in the house; however, during all the days I spent there, the bathroom was never cleaned, fortunately the guests were keeping it in a usable condition, but it would be important to clean the bathroom periodically.

One important point is that the rooms are connected by a door that doesnât have a lock and is quite thin; therefore, privacy isnât guaranteed and you can perfectly hear the noise from one room in the other.

The price was just right for what was offered, but it would be important to simply improve the cleanliness and check if itâs possible to soundproof the rooms.",4
10228731,"Very attentive host, Timo.

The house is very well-maintained and extremely well-located, with a view of the rainforest and close to the metro.",5
10264100,"Fantastic apartment in a perfect location. Ana Lucia made us feel right at home with fresh fruit and snacks! The apt is blocks away from the beach, near tons of great food (Go to Amir and Galeto Sats, thank me later) and plenty of places to hang out with locals (Bip Bip). Highly recommend staying here for your visit to Copacabana.",5
10264100,"Ana Lucia was very helpful and welcomed us wonderfully. The apartment is well-equipped and very well-located, close to the beach, public transport, and restaurantsâ¦ it completely exceeded our expectations!!",5
10264100,"Ana Lcia was incredibly attentive, quick with her responses, and flexible with my check-in and check-out times. The apartment is lovely and very well-located!",5
10264100,very good,4
10264100,"Ana Lcia took very good care of us and answered all of our questions about the stay, as well as providing us with guidance on some matters. Great service!",5
10264100,I loved it!,5
10264100,The Timo apartment is well-equipped and in a prime location.,5
10264100,"The Timo apartment is well-equipped, clean, and comfortable. Itâs in a perfect location, with lots of shops nearby and close to the beach.

We were very warmly welcomed by the host, who was very flexible with the check-in time.",5
10383490,"Luana was a great host, I felt at home. Sharing common areas â the kitchen and living room â wasnât a problem. The room was clean with a large wardrobe and enough space. And the best part was, it was very close to where I needed to go; I walked there and back. The neighborhood was quiet.

Before going to Rio, we communicated by phone, and she was able to give me directions to the apartment. In the end, she kindly offered to pick me up at the RodoviÃ¡rio Terminal, on my way back from work. I thought that was great, as I didnât know the cityâs road network.

We talked a lot; I found it very interesting.",5
10381879,"The location is excellent and very easy to access. The breakfast was excellent, and LÃ­dia and GetÃºlio were quite attentive.",5
10381879,Great hospitality and helpful local tips!,5
10381879,"Good service, attentive hosts. Great breakfast. I recommend it.",5
10381879,The host canceled this reservation 67 days before arrival. This is an automated posting.,5
10381879,"Attentive hosts, a simple place but very clean, and a delicious breakfast!!",5
10381879,We were very satisfied with our stay. The guesthouse was clean and had very tasteful decor. Ldia and her husband were incredibly welcoming hosts and made us feel at home! We highly recommend it.,5
10381879,"Wonderful place!

Anfitriones super receptivos.

Whenever I return to the Island, Iâll stay here!",5
10381879,Lidia and her husband were very welcoming and gave great tips about the island. Their guesthouse was easy to locate and very cozy. Itâs located very close to a 24-hour mini market.,5
10648267,"Dona Sonia was a wonderful host. The apartment was spotless, with nothing to complain about. She even left bottled water and cold beers in the refrigerator, made the beds, provided towels in the bathroom, and new soaps, as well as some emergency medications. She also offered her help numerous times and was 100% available.

This was the perfect apartment: spacious, airy, and very well-located. Itâs just one block from the beach, surrounded by bars, good restaurants, snack bars, healthy food places, burger joints, sushi restaurants, etc. You can save a lot of time on travel because you can do everything nearby.",5
11406680,"Patricia was always available to help us, with a lot of kindness. The apartment has an excellent location, close to shopping malls, theaters, great restaurants, and supermarkets. Everything in the apartment was very clean. Overall, it was a fantastic stay!",5
11406680,"When I rented this apartment for a family holiday in July for the second time, Iâve come to love it more and more. The location is perfect, the apartment is super well-maintained and clean, and itâs also very well-equipped. It couldnât be more suitable for my needs.",5
11406680,"Very nice place to stay!!!!

Patricia received my family in a very friendly way!!!! The apartment was in perfect order and clean. The rooms have comfortable beds with wardrobes. The area is very quiet, located on a private street very close to the Lagoon and the beach... I definitely recommend it!!!",5
11406680,"Patricia, the host, was very kind and attentive. Itâs an excellent place!! The location is wonderful! Weâll definitely return, and I recommend it!!",5
11406680,"The stay was great. The apartment was exactly as the photos showed. It was clean, airy, and very well-located.

Patricia was very kind and attentive.",5
11406680,Excellent!,5
11406680,"Thank you for your hospitality; everything met our expectations. The apartment is fully equipped for a family visit. The location is very quiet, the space is spacious and it has everything in the kitchen and a washing machine. The beds are very comfortable, just as described in the advertisement â itâs close to the beach, shopping, supermarkets, taxis, and tranquility.

I had a very pleasant stay and will return to my country, Chile, soon.",5
11406680,"The apartment is in a great location, clean and comfortable for 6 people.

Patricia is very attentive.

We loved our stay!",5
11406680,"Great location near Shopping Leblon, Leblon beach, Ipanaema beach and Lagoa. Felt quite safe there day and night. Leafy streets well lit at night. Spacious apartment for 6 people. View of the Christ Redeemer out of one of the bedroom windows. Master bedroom bed very comforatble. Other double room bed rather old and not so comfortble. Aircons noisy in that room too but fan also available. Kitchen well equipped and good washing machine and drying racks. Lounge had good comfortable furniture and large dining table. Wi-fi worked well. Only issue we had was part of the tiling in the kitchen spontaneously cracked and broke leaving the doorway into the kitchen with a very uneven entrance. Host provided a tarpaulin and offered us two free extra nights which made up for the inconvenience, an offer we were able to take up. Communication with host was through (Hidden by Airbnb) .",4
11406680,"Patricia was very kind, helpful, and caring. We felt very comfortable; the apartment was exactly as advertised, very well-located with everything we needed, and the cleanliness was impeccable. We loved our stay!!!",5
11406680,"Our stay was wonderful! The apartment was clean, comfortable, safe, and well-located, which allowed us to do most things on foot.

I recommend it!",5
10908640,"Very friendly couple in a tidy, very well located spot right in the heart of Ipanema beach. Grabiela is such a warm and welcoming character! The room I stayed in was spacious, neat and with affordable price. Would definitely recommend this place to other tourists who are looking to enjoy a good time in the wonderful city of Rio De Janeiro!",4
10908640,"Gabriela is very welcomy and do a lot to make you feel confortable.
Would recommend.
",4
10828339,The host canceled this reservation 23 days before arrival. This is an automated posting.,5
11459525,"Our stay was wonderful. We traveled with the whole family and stayed at Fabiâs apartment. Everything was exactly as described. The hosts were available to us in every detail we needed, providing a great sense of peace. The apartment is located just meters from the beach, specifically in plot nine of Ipanema, itâs very spacious, clean and comfortable, especially ideal for families. We would definitely return to this apartment without hesitation.",5
11459525,"Excellent experience.

Fantastic service from Fabi.

Excellent apartment.

Highly recommended.",5
11459525,"Sensational â the rooms were tidy, the beds were made, and towels were provided for everyone!

This was the best apartment Iâve ever stayed in!",4
11459525,"Excellent apartment and location â itâs very safe, quiet, just one block from the beach, and close to everything. The apartment is spacious and comfortable, perfect for spending your vacation. Fabi was excellent, we were very grateful.",5
11197217,"We loved staying at Zuzuâs Apartment! It was lovely, welcoming, and very well-located! Close to Copacabana, Ipanema, and the metro â fantastic! Plus, we were greeted with a delicious yupiua cake, fruit, and lots of friendliness!",5
11197217,"We were received very well, with a lot of hospitality and care. The location was excellent, at the end of Copacabana and convenient to Ipanema. The apartment is lovely and perfect for 5 people â spacious and with everything necessary to spend a holiday.",5
11840338,Ideal location. New apartment. Fair price.,4
11679012,"The location is great, very safe, and itâs possible to do everything on foot, whether itâs going to bars at night or heading to the beach during the day. The apartment comfortably accommodates 4 people, has nice rooms with good air conditioning, a spacious bathroom, and a spacious, comfortable living room. The doorman is also very polite and helpful. Rodrigo is very flexible and attentive, always asking if everything is okay with the accommodation. I would definitely recommend this space and I will return when necessary.",5
11679012,"The location is excellent, allowing you to easily walk to the beach and markets. Everything that was described in the listing was available. The neighbors and doorman were very polite and helpful. The host (in this case, Rodrigo) was very attentive, and everything made for a fantastic experience!",5
11860047,"These were wonderful days. The apartment was very cozy, with a spectacular view and an incredible location. We highly recommend it for anyone who wants to relax and enjoy a good beach.",5
11860047,"Excellent apartment in one of the best condominiums in Recreio.

Located right on the beach.

The apartment is comfortable, with a beautiful, spacious balcony overlooking the sea. Itâs very well-equipped with good taste and details that make it stand out, and has everything necessary and more for a truly pleasant stay.

The condominium services are excellent, especially the pool maintenance.

Close to commercial areas like a small supermarket, pharmacy, and other shops.

The host was incredibly attentive and always in contact, providing information.

Highly recommended.

Thank you, Alexandre!!!!",5
11716047,The host canceled this reservation 5 days before arrival. This is an automated posting.,5
11716047,"The apartment is small, but it has all the necessary amenities to have a good time. Four people fit comfortably in the three beds, and the shower is separated from the bathroom, which is a huge help for saving time. Itâs only half a block from the beach!

If we return to Ro, we will definitely return to this house.",5
12004365,"The apartment is very comfortable and has excellent facilities in the building. On top of that the location is amazing and you can go walking to the beach, stores, supermarket, bars, etc. Lucas was an amazing host, very easy to connect with and always ready to help. I will definitely come back! ",5
12004365,"This is a very good apartment with all the amenities, just 4 blocks from the beach and 2 blocks from the center. The hostâs attention was excellent and outstanding!!! Highly recommended!!!",5
12004365,"The apartment is extremely well-located, comfortable, and has everything necessary for a complete stay. Lucas was incredibly helpful and responsive from the beginning. My friend and I loved the time we spent at the apartment and we already want to return!",5
12004365,Everything was very good.,4
12004365,Great place and perfect location!,5
12088301,"I was in Brazil for the Summer Olympics as a volunteer and I needed to be close to the Olympic Stadium (Engenho). This home was perfect only 25 min by bus.

Kayanh and his family were awesome. He was great in making me feel at home, I left feeling like family. He took me on a tour of Rio on my first day and showed me everything to do in Rio. He was so accommodating and made me feel at home when I first arrived. Kayanh far exceeded my expectations. The home is so beautiful (I called it the tree house). The bedroom has everything- TV, fans, zoned air conditioning. The bathroom was awesome too. Everything was very well decorated and very clean. The neighborhood was great. It was in a very private, quiet neighborhood, close to the BRT and the area is very convenient, everything is in a walkable distance if you like walking. 

Kayanh home is 35-40 min from the airport by car and 1 hour from Centro Brazil, if you do not mind travelling by public transportation all the tourist areas are accessible.   

Kayanh and his family are the best hosts that you could ever ask for. I only speak English, and Kayanh spoke Portuguese and English which was a tremendous advantage. 

Kayanh and his family are 5 star hosts. ",5
12181533,"It was very good, I recommend it to everyone. I chatted with the host via WhatsApp the whole time and didnât have any problems, thank you for everything.",5
12181533,"The communication with the host and his wife was excellent, as was the welcome at Barra Leme Hotel Residence, which has a heated pool, a hot tub, free beach service, a gym, a games room, hair salons (at an additional cost), and is the best location on Barra Beach (between Post 1 and Post 2). Itâs a safe and pleasant place with very reasonable pricing. Great thanks to the hosts and thank you.",5
12253016,We had a wonderful welcome. Fabio made us feel very comfortable. It was in a great location.,5
12290090,The apartment was lovely and spacious. I felt at home with my boyfriend and was able to really enjoy the Olympics because it was very well-located.,5
12290090,"We absolutely loved our first Airbnb experience! We liked everything: the welcome, the location, the tips, and the hostâs friendliness. We recommend it to everyone!",5
12290090,"We were very warmly welcomed, had a very pleasant stay, and we wholeheartedly recommend it to everyone!!!!",5
12290090,"This apartment was really great! Everything was very good, the host welcomed us warmly and even picked us up at the BRT station when we were going to Rock in Rio. The location was excellent for those going to the Olympic Park â while everyone else was stuck in huge lines for taxis/BRT, we were able to leave very easily, even in the middle of the night, without any trouble. It was my first Airbnb experience and I really enjoyed it! I recommend it!",5
12290090,"The place was exactly as described, the organization was excellent, and the location was better than I expected. I would recommend staying there.",5
12355178,It was a great experience. Ione gave me a lot of help on knowing the Rio and my travel plan! The room is very nice and clean. Every stuffs in the room are nice clean and beauty.,4
12355178,"Ione was a great host, very responsive and quite attentive. She made us feel very welcome during our stay and was even flexible in certain aspects. And the conversation was great...",5
12355178,"This was an excellent accommodation, with a very good location â it was safe, everything was nearby. Ione prepares the best breakfast. The view from her apartment is unique. We felt very comfortable during our stay.",5
11948645,The host canceled this reservation 16 days before arrival. This is an automated posting.,5
